,word,time
1030,Fit,1
1031,nursery,1
1032,connection,24
1033,Noah,1
1034,Ark,1
1035,irresistible,5
1036,clear,114
1037,voice,29
1038,soared,9
1039,trilled,1
1040,Birds,2
1041,number,176
1042,creepily,1
1043,sinuous,1
1044,uplifting,1
1045,intended,24
1046,Days,1
1047,Like,52
1048,IAN,1
1049,IRVINE,1
1050,10,71
1051,October,24
1052,1903,1
1053,RAYMOND,1
1054,ASQUITH,1
1055,writes,13
1056,Lady,20
1057,Manners,1
1058,Aberdeenshire,1
1059,We,350
1060,storm,6
1061,yesterday,176
1062,went,190
1063,watch,45
1064,waves,9
1065,ventured,2
1066,far,174
1067,onto,22
1068,rock,46
1069,knocked,14
1070,flat,32
1071,my,540
1072,face,124
1073,against,271
1074,granite,3
1075,floor,50
1076,biggest,30
1077,rollers,3
1078,seen,213
1079,coast,5
1080,felt,72
1081,blow,14
1082,luckily,1
1083,fell,43
1084,crevice,1
1085,washed,6
1086,stunned,2
1087,few,244
1088,seconds,19
1089,knee,11
1090,streaming,3
1091,blood,37
1092,Margot,1
1093,always,196
1094,splendid,4
1095,occasions,11
1096,took,162
1097,back,468
1098,house,211
1099,covered,44
1100,ice,11
1101,raw,7
1102,beef,2
1103,spite,25
1104,am,182
1105,revolting,1
1106,sight,26
1107,today,197
1108,shall,83
1109,week,174
1110,lame,1
1111,leg,16
1112,blind,11
1113,eye,37
1114,nose,18
1115,like,928
1116,Cyrano,1
1117,glad,11
1118,you,2834
1119,ca,168
1120,see,572
1121,speak,40
1122,1979,10
1123,STEPHEN,2
1124,SPENDER,1
1125,teaching,7
1126,Lynchburg,1
1127,Virginia,3
1128,journal,3
1129,My,69
1130,class,57
1131,night,176
1132,irremediable,1
1133,really,310
1134,almost,141
1135,given,132
1136,trying,72
1137,discuss,21
1138,poems,2
1139,talk,68
1140,poetry,1
1141,lines,49
1142,ship,11
1143,Torn,2
1144,Between,11
1145,anchors,1
1146,dock,3
1147,currents,9
1148,sea,85
1149,You,552
1150,think,505
1151,life,265
1152,divided,18
1153,between,319
1154,attachment,7
1155,call,67
1156,tides,1
1157,said,869
1158,She,281
1159,personalizes,1
1160,friend,38
1161,poetess,1
1162,audible,1
1163,squeak,1
1164,Well,318
1165,mean,217
1166,absurd,13
1167,argued,35
1168,beginning,37
1169,feel,120
1170,dizzy,1
1171,However,131
1172,could,606
1173,Crushed,1
1174,ambitions,4
1175,women,196
1176,lib,1
1177,feelings,13
1178,rallied,2
1179,author,7
1180,identify,15
1181,herself,22
1182,apartment,6
1183,ate,14
1184,ham,2
1185,beans,6
1186,opened,32
1187,bottle,17
1188,claret,2
1189,drank,9
1190,nearly,83
1191,disgusted,3
1192,myself,48
1193,repelled,1
1194,heavy,27
1195,unlovable,1
1196,weight,20
1197,flesh,8
1198,1969,2
1199,TONY,2
1200,BENN,1
1201,records,17
1202,diary,5
1203,evening,43
1204,Caroline,2
1205,Number,3
1206,dinner,38
1207,American,79
1208,astronauts,1
1209,moon,7
1210,Neil,24
1211,Armstrong,7
1212,Buz,1
1213,Aldrin,1
1214,wives,3
1215,Harold,8
1216,laid,28
1217,grand,12
1218,lots,11
1219,television,60
1220,coverage,2
1221,sat,31
1222,next,209
1223,Pat,23
1224,Collins,2
1225,delightful,1
1226,woman,92
1227,sorry,46
1228,George,37
1229,Brown,12
1230,completely,33
1231,pickled,1
1232,side,164
1233,TELEVISION,2
1234,knew,98
1235,liked,42
1236,THOMAS,1
1237,SUTCLIFFE,1
1238,AN,8
1239,OBJECT,1
1240,lesson,11
1241,those,345
1242,bemoan,1
1243,indifference,3
1244,government,93
1245,Omnibus,4
1246,BBC,3
1247,looked,105
1248,leader,34
1249,closest,5
1250,interest,138
1251,mediocre,2
1252,embittered,1
1253,eventually,18
1254,turned,65
1255,another,239
1256,medium,2
1257,mass,12
1258,warfare,3
1259,Fuhrer,4
1260,loves,12
1261,because,444
1262,himself,159
1263,Goebbels,1
1264,announced,26
1265,newsreel,1
1266,no,1061
1267,doubt,67
1268,artists,5
1269,uneasily,1
1270,border,15
1271,still,340
1272,easy,49
1273,Royal,64
1274,Academy,1
1275,put,292
1276,together,114
1277,retrospective,1
1278,German,27
1279,Art,5
1280,dealt,16
1281,Nazi,2
1282,ignoring,6
1283,altogether,13
1284,decision,91
1285,orthodox,2
1286,conveniently,4
1287,avoided,12
1288,embarrassing,5
1289,possibility,23
1290,kitsch,1
1291,sunlit,4
1292,expressions,1
1293,heroic,10
1294,physical,33
1295,vigour,5
1296,serene,1
1297,landscape,14
1298,might,301
1299,prove,29
1300,popular,39
1301,expressionism,1
1302,simplistic,5
1303,script,20
1304,favoured,4
1305,over,500
1306,analysis,15
1307,dangerous,58
1308,moral,32
1309,triumph,9
1310,taste,19
1311,suppression,2
1312,glimpsed,1
1313,Nazis,2
1314,invent,3
1315,styles,9
1316,narration,1
1317,pointed,33
1318,occupied,17
1319,existed,7
1320,literally,6
1321,syrupy,1
1322,domestic,16
1323,interiors,4
1324,beloved,9
1325,painters,1
1326,began,38
1327,reappear,1
1328,pictures,23
1329,wall,39
1330,Volkischer,1
1331,Beobachter,1
1332,lying,21
1333,folded,8
1334,table,38
1335,Elsewhere,3
1336,subtle,4
1337,addition,24
1338,word,48
1339,painting,22
1340,chronicled,1
1341,exemplary,1
1342,thoroughness,1
1343,finally,28
1344,elided,1
1345,real,87
1346,aesthetic,1
1347,questions,48
1348,battle,30
1349,invites,1
1350,viewer,2
1351,passes,7
1352,mind,115
1353,leaving,33
1354,sugary,2
1355,trace,4
1356,complacent,1
1357,Aesthetic,1
1358,judgements,3
1359,impossible,27
1360,concluded,9
1361,denial,8
1362,implied,11
1363,paintings,6
